rent_price,m2,Deposit,Type_of_building,room_number,Building_material,Year_of_construction,floor,windows,Number_of_floors,Heating,media,security,link_2,Additional_information,Equipment,location,latitude,longitude
9400.0,170.0,,,4.0,,,4.0,,12.0,,,,https://www.otodom.pl/pl/oferta/luksusowy-czteropokojwy-apartament-ID49xEc,"balkon, garaż/miejsce parkingowe",,"Wilanów, Warszawa, województwo mazowieckie, Polska",52.1530829,21.1104411
7600.0,118.0,,,3.0,,,1.0,,11.0,,,,https://www.otodom.pl/pl/oferta/biuro-w-luksusowym-apartamentowcu-ID49xEf,"balkon, garaż/miejsce parkingowe",,"Wilanów, Warszawa, województwo mazowieckie, Polska",52.1530829,21.1104411
8300.0,110.0,,,3.0,,2006.0,2.0,,4.0,,,,https://www.otodom.pl/pl/oferta/sloneczny-apartament-marina-taras-garaz-ID4bwyx,,,"Wyględów, Mokotów, Warszawa, województwo mazowieckie, Polska",52.20003,20.99274
1700.0,42.0,2000.0,,2.0,,2000.0,,plastikowe,2.0,miejskie,,"teren zamknięty, domofon / wideofon, rolety antywłamaniowe",https://www.otodom.pl/pl/oferta/wynajme-ID4duf9,"balkon, tylko dla niepalących, oddzielna kuchnia","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Targówek, Warszawa, województwo mazowieckie, Polska",52.2751918,21.0580854
2150.0,38.0,2600.0,blok,2.0,wielka płyta,1970.0,9.0,plastikowe,10.0,miejskie,,domofon / wideofon,https://www.otodom.pl/pl/oferta/mieszkanie-38-m-warszawa-ID4diDJ,"balkon, piwnica, winda, tylko dla niepalących, pom. użytkowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Osiedle Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, województwo mazowieckie, 03-920, Polska",52.2360602,21.0659441
2300.0,70.0,2300.0,blok,3.0,wielka płyta,2006.0,3.0,plastikowe,3.0,,,domofon / wideofon,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-ul-janowskiego-ursynow-ID4dbgK,"balkon, piwnica, oddzielna kuchnia","lodówka, meble, piekarnik, kuchenka, pralka","Ursynów, Warszawa, województwo mazowieckie, Polska",52.141039,21.0323214
3200.0,52.0,3200.0,kamienica,2.0,cegła,1938.0,6.0,plastikowe,6.0,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-52m2-ID42p22,"balkon, winda","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,,
2300.0,39.0,2300.0,blok,1.0,cegła,,4.0,plastikowe,4.0,miejskie,"telewizja kablowa, internet",,https://www.otodom.pl/pl/oferta/studio-na-sadach-zoliborskich-ID35E4Q,"balkon, piwnica","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Most Krasińskiego, Żoliborz Oficerski, Stary Żoliborz, Żoliborz, Warszawa, województwo mazowieckie, 03-315, Polska",52.2809004,21.0255855
8000.0,100.0,,kamienica,3.0,,,3.0,drewniane,3.0,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-jak-marzenie-ID4dvk2,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Warszawa, województwo mazowieckie, Polska",52.2337172,21.071432235636493
13000.0,105.0,,,5.0,,2021.0,5.0,,7.0,,,,https://www.otodom.pl/pl/oferta/luksusowy-oraz-przestronny-apartament-ID4d38H,"balkon, garaż/miejsce parkingowe, taras, pom. użytkowe",,"Mokotów, Warszawa, województwo mazowieckie, Polska",52.1939874,21.0457809
2500.0,59.0,,,3.0,,1953.0,1.0,,3.0,,,,https://www.otodom.pl/pl/oferta/solidarnosci-78-centrum-3-pokoje-balkon-0-prowizji-ID4dvjO,,,"Aleja ""Solidarności"", Muranów II, Muranów, Śródmieście, Warszawa, województwo mazowieckie, 00-088, Polska",52.2448405,21.0031979
1140.0,18.0,,,1.0,,,3.0,,3.0,,,,https://www.otodom.pl/pl/oferta/jaworzniakow-8-rembertow-nowa-kawalerka-0-prowizji-ID4dvjK,,,"Jaworzniaków, Nowy Rembertów, Rembertów, Warszawa, województwo mazowieckie, 04-482, Polska",52.2551828,21.1641134
2000.0,23.0,5000.0,kamienica,1.0,cegła,,2.0,plastikowe,,miejskie,,"teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/przytulna-jasna-kawalerka-na-ul-waszyngtona-ID4dviL,tylko dla niepalących,"zmywarka, lodówka, meble, kuchenka, pralka","Praga-Południe, Warszawa, województwo mazowieckie, Polska",52.2373961,21.0712578
